,state,country,population,lat,long,url,aggregate,tz,date,cases,deaths,recovered,active,growthFactor
0,,ITA,62137802.0,41.82606170950008,12.56007714450007,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-02-24,229.0,7.0,1.0,221.0,
1,Emilia Romagna,ITA,4459477.0,44.43551924350304,10.977418355306853,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-02-25,26.0,,,26.0,1.4444444444444444
2,Veneto,ITA,4905854.0,45.737146979710815,11.862938179646616,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-02-26,71.0,2.0,,69.0,1.6511627906976745
3,P.A. Trento,ITA,1072276.0,46.10760284849263,11.214905976229801,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-02-27,,,,,
4,Piemonte,ITA,4356406.0,45.26102182821629,7.920205809104651,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-02-28,11.0,,,11.0,5.5
5,Calabria,ITA,1947131.0,39.0298401156116,16.418351979942813,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-02-29,1.0,,,1.0,1.0
6,P.A. Trento,ITA,1072276.0,46.10760284849263,11.214905976229801,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-01,,,,,
7,Valle d'Aosta,ITA,125666.0,45.72671177146727,7.37041533575352,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-02,,,,,
8,Puglia,ITA,4029053.0,41.010137150757664,16.726699634103944,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-03,6.0,,,6.0,1.5
9,Molise,ITA,305617.0,41.716894204537866,14.55125720067299,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-04,3.0,,,3.0,1.0
10,Sardegna,ITA,1639591.0,40.08640349767029,8.980454405390873,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-05,2.0,,,2.0,1.0
11,Marche,ITA,1525271.0,43.32789559104325,13.051090223045492,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-06,159.0,4.0,,155.0,1.2822580645161292
12,Molise,ITA,305617.0,41.716894204537866,14.55125720067299,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-07,14.0,,,14.0,1.1666666666666667
13,Calabria,ITA,1947131.0,39.0298401156116,16.418351979942813,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-08,9.0,,,9.0,2.25
14,Toscana,ITA,3729641.0,43.35572961610775,11.02809014521221,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-09,208.0,1.0,1.0,206.0,1.2530120481927711
15,Basilicata,ITA,562869.0,40.51736165566957,16.10092821894685,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-10,7.0,,,7.0,1.4
16,P.A. Bolzano,ITA,107436.0,46.65500433907897,11.419398570635364,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-11,75.0,,,75.0,1.973684210526316
17,Veneto,ITA,4905854.0,45.737146979710815,11.862938179646616,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-12,1384.0,32.0,55.0,1297.0,1.3528836754643203
18,Umbria,ITA,882015.0,42.990867261769274,12.578027098494625,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-13,76.0,1.0,2.0,73.0,1.1875
19,P.A. Bolzano,ITA,107436.0,46.65500433907897,11.419398570635364,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-14,173.0,3.0,,170.0,1.3840000000000001
20,Liguria,ITA,1550640.0,44.226353459177886,8.783353306551223,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-15,559.0,33.0,33.0,493.0,1.2073434125269982
21,Emilia Romagna,ITA,4459477.0,44.43551924350304,10.977418355306853,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-16,3522.0,346.0,88.0,3088.0,1.138700290979631
22,P.A. Bolzano,ITA,107436.0,46.65500433907897,11.419398570635364,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-17,291.0,8.0,1.0,282.0,1.2074688796680495
23,Campania,ITA,5801692.0,40.74896505776182,14.783939401902455,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-18,460.0,9.0,28.0,423.0,1.0
24,Veneto,ITA,4905854.0,45.737146979710815,11.862938179646616,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-19,3484.0,115.0,200.0,3169.0,1.0840074673304294
25,Lazio,ITA,5879082.0,41.811776720877134,12.738640304805985,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-20,1008.0,43.0,53.0,912.0,1.2247873633049815
26,Veneto,ITA,4905854.0,45.737146979710815,11.862938179646616,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-21,4617.0,146.0,257.0,4214.0,1.1453733564872242
27,Calabria,ITA,1947131.0,39.0298401156116,16.418351979942813,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-22,273.0,8.0,5.0,260.0,1.1617021276595745
28,Valle d'Aosta,ITA,125666.0,45.72671177146727,7.37041533575352,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-23,393.0,12.0,2.0,379.0,1.0796703296703296
29,P.A. Trento,ITA,1072276.0,46.10760284849263,11.214905976229801,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-24,1110.0,56.0,79.0,975.0,1.0850439882697946
30,,ITA,62137802.0,41.82606170950008,12.56007714450007,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-25,74386.0,7503.0,9362.0,57521.0,1.0753151381982191
31,P.A. Bolzano,ITA,107436.0,46.65500433907897,11.419398570635364,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-26,906.0,48.0,67.0,791.0,1.0559440559440558
32,Veneto,ITA,4905854.0,45.737146979710815,11.862938179646616,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-27,7497.0,313.0,536.0,6648.0,1.0810382119682769
33,Emilia Romagna,ITA,4459477.0,44.43551924350304,10.977418355306853,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-28,12383.0,1344.0,1075.0,9964.0,1.068605453917846
34,Basilicata,ITA,562869.0,40.51736165566957,16.10092821894685,https://raw.githubusercontent.com/pcm-dpc/COVID-19/master/dati-regioni/dpc-covid19-ita-regioni.csv,state,Europe/Rome,2020-03-29,202.0,4.0,1.0,197.0,1.10989010989011
